First_Published,Advisory,Severity,Summary,Product Names,cvss_base_score
2019-05-13T17:30:00-0700,Cisco Secure Boot Hardware Tampering Vulnerability,High,"<p>A vulnerability in the logic that handles access control to one of the hardware components in Cisco's proprietary Secure Boot implementation could allow an authenticated, local attacker to write a modified firmware image to the component. This vulnerability affects multiple Cisco products that support hardware-based Secure Boot functionality.</p>
<p>The vulnerability is due to an improper check on the area of code that manages on-premise updates to a Field Programmable Gate Array (FPGA) part of the Secure Boot hardware implementation. An attacker with elevated privileges and access to the underlying operating system that is running on the affected device could exploit this vulnerability by writing a modified firmware image to the FPGA. A successful exploit could either cause the device to become unusable (and require a hardware replacement) or allow tampering with the Secure Boot verification process, which under some circumstances may allow the attacker to install and boot a malicious software image.</p>
<p>This advisory will be updated as additional information becomes available.</p>
<p>Cisco will release software updates that address this vulnerability. There are no workarounds that address this vulnerability.</p>
<p>This advisory is available at the following link:<br />
<a href=""https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-20190513-secureboot"">https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-20190513-secureboot</a></p>","[u'Cisco ASA with FirePOWER Services ', u'Cisco Firepower 2100 Series ', u'Cisco Firepower 4100 Series ', u'Cisco Firepower 9000 Series ']",6.7
2019-05-01T16:00:00-0700,Cisco Adaptive Security Appliance Software and Cisco Firepower Threat Defense Software TCP Timer Handling Denial of Service Vulnerability,High,"<p>A vulnerability in the TCP processing engine of Cisco Adaptive Security Appliance (ASA) Software and Cisco Firepower Threat Defense (FTD) Software could allow an unauthenticated, remote attacker to cause an affected device to reload, resulting in a denial of service (DoS) condition.</p>
<p>The vulnerability is due to the improper handling of TCP traffic. An attacker who is using a TCP protocol that is configured for inspection could exploit this vulnerability by sending a specific sequence of packets at a high rate through an affected device. A successful exploit could allow the attacker to temporarily disrupt traffic through the device while it reboots.</p>
<p>Cisco has released software updates that address this vulnerability. There are no workarounds that address this vulnerability.<br />
<br />
This advisory is available at the following link:<br />
<a href=""https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-20190501-asa-frpwrtd-dos"">https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-20190501-asa-frpwrtd-dos</a></p>","[u'Cisco Adaptive Security Appliance (ASA) Software ', u'Cisco Firepower Threat Defense Software ']",8.6
2019-05-01T16:00:00-0700,Cisco Adaptive Security Appliance Software and Firepower Threat Defense Software WebVPN Denial of Service Vulnerability,High,"<p>A vulnerability in the WebVPN login process of Cisco Adaptive Security Appliance (ASA) Software and Cisco Firepower Threat Defense (FTD) Software could allow an unauthenticated, remote attacker to cause increased CPU utilization on an affected device.</p>
<p>The vulnerability is due to excessive processing load for existing WebVPN login operations. An attacker could exploit this vulnerability by sending multiple WebVPN login requests to the device. A successful exploit could allow the attacker to increase CPU load on the device, resulting in a denial of service (DoS) condition.</p>
<p>Cisco has released software updates that address this vulnerability. There are no workarounds that address this vulnerability.</p>
<p>This advisory is available at the following link:<br />
<a href=""https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-20190501-sd-cpu-dos"">https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-20190501-sd-cpu-dos</a></p>","[u'Cisco Adaptive Security Appliance (ASA) Software ', u'Cisco Firepower Threat Defense Software ']",8.6
2019-05-01T16:00:00-0700,Cisco Adaptive Security Appliance Software and Firepower Threat Defense Software Lightweight Directory Access Protocol Denial of Service Vulnerability,Medium,"<p>A vulnerability in the implementation of the Lightweight Directory Access Protocol (LDAP) feature in Cisco Adaptive Security Appliance (ASA) Software and Firepower Threat Defense (FTD) Software could allow an unauthenticated, remote attacker to cause an affected device to reload, resulting in a denial of service (DoS) condition.</p>
<p>The vulnerabilities are due to the improper parsing of LDAP packets sent to an affected device. An attacker could exploit these vulnerabilities by sending a crafted LDAP packet, using Basic Encoding Rules (BER), to be processed by an affected device. A successful exploit could allow the attacker to cause the affected device to reload, resulting in a DoS condition.</p>
<p>Cisco has released software updates that address this vulnerability. There are no workarounds that address this vulnerability.</p>
<p>This advisory is available at the following link:<br />
<a href=""https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-20190501-asa-ftds-ldapdos"">https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-20190501-asa-ftds-ldapdos</a></p>","[u'Cisco Adaptive Security Appliance (ASA) Software ', u'Cisco Firepower Threat Defense Software ']",6.8
2019-05-01T16:00:00-0700,Cisco Adaptive Security Appliance Software and Firepower Threat Defense Software Low-Entropy Keys Vulnerability,High,"A vulnerability in the Deterministic Random Bit Generator (DRBG), also
known as Pseudorandom Number Generator (PRNG), used in Cisco Adaptive
Security Appliance (ASA) Software and Cisco Firepower Threat Defense
(FTD) Software could allow an unauthenticated, remote attacker to cause a
cryptographic collision, enabling the attacker to discover the private
key of an affected device.<br />
<br />
The vulnerability is due to
insufficient entropy in the DRBG when generating cryptographic keys. An
attacker could exploit this vulnerability by generating a large number
of cryptographic keys on an affected device and looking for collisions
with target devices. A successful exploit could allow the attacker to
impersonate an affected target device or to decrypt  traffic secured by
an affected key that is sent to or from an affected target device.
<p>Cisco has released software updates that address this vulnerability. There are workarounds that address this vulnerability.</p>
<p>This advisory is available at the following link:<br />
<a href=""https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-20190501-asa-ftd-entropy"">https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-20190501-asa-ftd-entropy</a></p>","[u'Cisco Adaptive Security Appliance (ASA) Software ', u'Cisco Firepower Threat Defense Software ']",5.3
2019-05-01T16:00:00-0700,Cisco Adaptive Security Appliance Software and Firepower Threat Defense Software TCP Proxy Denial of Service Vulnerability,Medium,"<p>A vulnerability in the TCP proxy functionality for Cisco Adaptive Security Appliance (ASA) Software and Cisco Firepower Threat Defense (FTD) Software could allow an unauthenticated, remote attacker to cause the device to restart unexpectedly, resulting in a denial of service (DoS) condition.</p>
<p>The vulnerability is due to an error in TCP-based packet inspection, which could cause the TCP packet to have an invalid Layer 2 (L2)-formatted header. An attacker could exploit this vulnerability by sending a crafted TCP packet sequence to the targeted device. A successful exploit could allow the attacker to cause a DoS condition.</p>
<p>Cisco has released software updates that address this vulnerability. There are no workarounds that address this vulnerability.</p>
<p>This advisory is available at the following link:<br />
<a href=""https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-20190501-asa-ftdtcp-dos"">https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-20190501-asa-ftdtcp-dos</a></p>","[u'Cisco Adaptive Security Appliance (ASA) Software ', u'Cisco Firepower Threat Defense Software ']",6.8
2019-05-01T16:00:00-0700,Cisco Adaptive Security Appliance Software and Firepower Threat Defense Software WebVPN Denial of Service Vulnerability,High,"<p>A vulnerability in the WebVPN service of Cisco&nbsp;Adaptive Security Appliance (ASA) Software and Cisco&nbsp;Firepower Threat Defense (FTD) Software could allow an authenticated, remote attacker to cause a denial of service (DoS) condition on an affected device.</p>
<p>The vulnerability is due to improper management of authenticated sessions in the WebVPN portal. An attacker could exploit this vulnerability by authenticating with valid credentials and accessing a specific URL in the WebVPN portal. A successful exploit could allow the attacker to cause the device to reload, resulting in a temporary DoS condition.</p>
<p>Cisco has released software updates that address this vulnerability. There are no workarounds that address this vulnerability.</p>
<p>This advisory is available at the following link:<br />
<a href=""https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-20190501-asa-ftd-dos"">https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-20190501-asa-ftd-dos</a></p>","[u'Cisco Adaptive Security Appliance (ASA) Software ', u'Cisco Firepower Threat Defense Software ']",7.7
2019-05-01T16:00:00-0700,Cisco Adaptive Security Appliance and Firepower Threat Defense Software Layer 2 Filtering Bypass Vulnerability,Medium,"<p>A vulnerability in the detection engine of Cisco&nbsp;Adaptive Security Appliance (ASA) Software and Cisco&nbsp;Firepower Threat Defense (FTD) Software could allow an unauthenticated, adjacent attacker to send data directly to the kernel of an affected device.</p>
<p>The vulnerability exists because the software improperly filters Ethernet frames sent to an affected device. An attacker could exploit this vulnerability by sending crafted packets to the management interface of an affected device. A successful exploit could allow the attacker to bypass the Layer 2 (L2) filters and send data directly to the kernel of the affected device. A malicious frame successfully delivered would make the target device generate a specific syslog entry.</p>
<p>Cisco has released software updates that address this vulnerability. There are no workarounds that address this vulnerability.</p>
<p>This advisory is available at the following link:<br />
<a href=""https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-20190501-asa-ftd-bypass"">https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-20190501-asa-ftd-bypass</a></p>","[u'Cisco Adaptive Security Appliance (ASA) Software ', u'Cisco Firepower Threat Defense Software ']",4.3
2019-05-01T16:00:00-0700,Cisco Adaptive Security Appliance and Firepower Threat Defense Software WebVPN Cross-Site Scripting Vulnerabilities,Medium,"<p>Multiple vulnerabilities in the WebVPN service of Cisco&nbsp;Adaptive Security Appliance (ASA) Software and Cisco&nbsp;Firepower Threat Defense (FTD) Software could allow an authenticated, remote attacker to conduct a cross-site scripting (XSS) attack against a user of the WebVPN portal of an affected device.</p>
<p>The vulnerabilities exist because the software insufficiently validates user-supplied input on an affected device. An attacker could exploit these vulnerabilities by persuading a user of the interface to click a crafted link. A successful exploit could allow the attacker to execute arbitrary script code in the context of the affected interface or access sensitive browser-based information. An attacker would need <em>administrator</em> privileges on the device to exploit these vulnerabilities.</p>
<p>Cisco has released software updates that address these vulnerabilities. There are no workarounds that address these vulnerabilities.</p>
<p>This advisory is available at the following link:<br />
<a href=""https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-20190501-asa-ftd-xss"">https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-20190501-asa-ftd-xss</a></p>","[u'Cisco Adaptive Security Appliance (ASA) Software ', u'Cisco Firepower Threat Defense Software ']",4.8
2019-05-01T16:00:00-0700,Cisco Adaptive Security Appliance Software and Firepower Threat Defense Software VPN SAML Authentication Bypass Vulnerability,High,"A vulnerability in the implementation of Security Assertion Markup
Language (SAML) 2.0 Single Sign-On (SSO) for Clientless SSL VPN (WebVPN) and
AnyConnect Remote Access VPN in Cisco Adaptive Security Appliance (ASA)
Software and Cisco Firepower Threat Defense (FTD) Software could allow
an unauthenticated, remote attacker to successfully establish a VPN
session to an affected device.<br />
<br />
The vulnerability is due to
improper credential management when using NT LAN Manager (NTLM) or basic
authentication. An attacker could exploit this vulnerability by opening
a VPN session to an affected device after another VPN user has
successfully authenticated to the affected device via SAML SSO. A successful
exploit could allow the attacker to connect to secured networks behind
the affected device.
<p>Cisco has released software updates that address this vulnerability. There are no workarounds that address this vulnerability.</p>
<p>This advisory is available at the following link:<br />
<a href=""https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-20190501-asaftd-saml-vpn"">https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-20190501-asaftd-saml-vpn</a></p>","[u'Cisco Adaptive Security Appliance (ASA) Software ', u'Cisco Firepower Threat Defense Software ']",5.8
